"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model"
"dx.liver_mild",3.04141218326493,0.305559907059226,3.64027451189385,0.000272347524810065,1.67102218928215,5.53564646109583,"M"
"dx.ra",0.176276291813156,0.74111158060267,-2.34202611379457,0.0191793729257586,0.0412437917105979,0.753406264715775,"M"
"dx.dm_com0",1.67435855594276,0.153808750666309,3.35111063592593,0.000804881387110949,1.23858615119354,2.2634489907361,"M"
"dx.htn",2.80678373713274,0.296582503224582,3.4797711903531,0.000501842180485862,1.56948607580136,5.01949973847993,"M"
"dx.constipation",1.15801661050462,0.161035442367212,0.911033751471837,0.362277590424166,0.844580736910419,1.5877729761043,"M"
"antiplatelet",0.793892904571763,0.192928822669618,-1.19633087752512,0.231567463748359,0.543926989431883,1.15873261701481,"M"
"(Intercept)",0.018842471059453,0.207687244843912,-19.123186217581,1.61907989761258e-81,0.0125416348920472,0.0283088065218241,"inci"
"expo",0.981019075996423,0.16664397955366,-0.11499589842367,0.908448373061,0.707668459638481,1.3599566497008,"inci"
"I(time)",0.983533308647673,0.0171524955069394,-0.96800924734361,0.333039751391877,0.951018229639254,1.017160070198,"inci"
"I(timesqr)",1.00058805138018,0.000523080367321651,1.12387805478416,0.261064762318042,0.999562755484008,1.00161439896787,"inci"
"SexM",0.798987439611791,0.0994428413692694,-2.25667378752317,0.024028465922942,0.657497418562274,0.970925376487911,"inci"
"time_af_index",0.998110735342676,0.0045540706885847,-0.415244228317293,0.677963124379553,0.989241425826689,1.00705956503365,"inci"
"dx.pvd",1.4931953573539,0.165650955660831,2.42025986063085,0.015509419364656,1.07923067761309,2.06594606831828,"inci"
"dx.liver_mild",1.02824727077409,0.276484544829959,0.100749479138071,0.919749332492389,0.598072032699017,1.7678346286867,"inci"
"dx.ra",0.346410656188384,0.530098389847868,-1.99987466553656,0.0455137994503609,0.122566187049537,0.979065642895189,"inci"
"dx.dm_com0",1.52061538442881,0.103324281364506,4.05630801944343,0.0000498545042873973,1.24185128857946,1.86195494470723,"inci"
"dx.htn",2.1082196537867,0.177477150995884,4.20247801564342,0.0000264008895432673,1.48883658765391,2.98527732692023,"inci"
"dx.constipation",1.23238106215176,0.111896035475014,1.86734159163365,0.0618539007364107,0.989689443438131,1.53458551308194,"inci"
"antiplatelet",0.87984159869054,0.114114863549443,-1.12179417490742,0.261949963536477,0.703509138925329,1.10037126165676,"inci"
"(Intercept)",0.0267028754245076,0.260023385233728,-13.9333007387628,3.97549786743279e-44,0.0160407888790259,0.0444519007957963,"F_inc"
